Decoder file for sampled montage

Montage file: D:\p4root\specA\aoslo\mtlbfnctns\montage.tif
Fovea location (xy): 5897 841

Sample_ID,Sample_X_pix,Sample_Y_pix,Sample_X_deg,Sample_Y_deg,Ctr_X_pix,Ctr_Y_pix,Ctr_X_deg,Ctr_Y_deg,Dist_pix,Dist_deg
1,1701,401,4.592681,1.082696,1751,451,4.727680,1.217695,4164.302583,11.243571
2,201,401,0.542698,1.082696,251,451,0.677697,1.217695,5659.453684,15.280462
3,1301,1,3.512685,0.002700,1351,51,3.647685,0.137699,4614.132204,12.458105
4,501,201,1.352694,0.542698,551,251,1.487694,0.677697,5378.458515,14.521778
5,2001,401,5.402678,1.082696,2051,451,5.537677,1.217695,3865.723218,10.437410
6,301,401,0.812697,1.082696,351,451,0.947696,1.217695,5559.695675,15.011116
7,2001,201,5.402678,0.542698,2051,251,5.537677,0.677697,3890.991647,10.505634
8,1601,1,4.322682,0.002700,1651,51,4.457682,0.137699,4318.867444,11.660894
9,801,401,2.162691,1.082696,851,451,2.297691,1.217695,5061.048903,13.664776
10,1601,401,4.322682,1.082696,1651,451,4.457682,1.217695,4263.873356,11.512411
11,1401,301,3.782684,0.812697,1451,351,3.917684,0.947696,4472.920299,12.076835
12,1501,101,4.052683,0.272699,1551,151,4.187683,0.407698,4400.433615,11.881122
13,1401,1,3.782684,0.002700,1451,51,3.917684,0.137699,4515.641261,12.192181
14,501,1,1.352694,0.002700,551,51,1.487694,0.137699,5404.055514,14.590890
15,1401,101,3.782684,0.272699,1451,151,3.917684,0.407698,4499.223933,12.147854
16,1901,1,5.132679,0.002700,1951,51,5.267678,0.137699,4024.303169,10.865574
17,901,101,2.432690,0.272699,951,151,2.567689,0.407698,4993.897876,13.483469
18,1601,301,4.322682,0.812697,1651,351,4.457682,0.947696,4274.180155,11.540239
19,301,201,0.812697,0.542698,351,251,0.947696,0.677697,5577.294685,15.058633
20,901,301,2.432690,0.812697,951,351,2.567689,0.947696,4970.212873,13.419519
21,501,301,1.352694,0.812697,551,351,1.487694,0.947696,5368.409075,14.494645
22,201,201,0.542698,0.542698,251,251,0.677697,0.677697,5676.743433,15.327144
23,2001,101,5.402678,0.272699,2051,151,5.537677,0.407698,3907.405277,10.549951
24,1201,101,3.242687,0.272699,1251,151,3.377686,0.407698,4696.958165,12.681735
25,1001,301,2.702689,0.812697,1051,351,2.837688,0.947696,4870.710010,13.150863
26,1801,401,4.862680,1.082696,1851,451,4.997679,1.217695,4064.752883,10.974787
27,1101,1,2.972688,0.002700,1151,51,3.107687,0.137699,4811.300864,12.990459
28,301,101,0.812697,0.272699,351,151,0.947696,0.407698,5588.758002,15.089584
29,1701,101,4.592681,0.272699,1751,151,4.727680,0.407698,4203.024625,11.348120
30,1901,101,5.132679,0.272699,1951,151,5.267678,0.407698,4005.872689,10.815812
31,401,101,1.082696,0.272699,451,151,1.217695,0.407698,5489.536957,14.821689
32,1201,201,3.242687,0.542698,1251,251,3.377686,0.677697,4683.312503,12.644892
33,701,401,1.892692,1.082696,751,451,2.027692,1.217695,5160.757309,13.933987
34,1501,301,4.052683,0.812697,1551,351,4.187683,0.947696,4373.535869,11.808498
35,701,201,1.892692,0.542698,751,251,2.027692,0.677697,5179.711961,13.985165
36,101,1,0.272699,0.002700,151,51,0.407698,0.137699,5800.053103,15.660079
37,1101,301,2.972688,0.812697,1151,351,3.107687,0.947696,4771.227934,12.882262
38,1101,201,2.972688,0.542698,1151,251,3.107687,0.677697,4782.532384,12.912784
39,1,101,0.002700,0.272699,51,151,0.137699,0.407698,5886.579312,15.893699
40,301,301,0.812697,0.812697,351,351,0.947696,0.947696,5567.604153,15.032469
41,601,201,1.622693,0.542698,651,251,1.757693,0.677697,5279.073404,14.253439
42,901,1,2.432690,0.002700,951,51,2.567689,0.137699,5008.694041,13.523418
43,401,401,1.082696,1.082696,451,451,1.217695,1.217695,5459.946520,14.741795
44,1101,401,2.972688,1.082696,1151,451,3.107687,1.217695,4761.997060,12.857339
45,101,201,0.272699,0.542698,151,251,0.407698,0.677697,5776.211215,15.595706
46,1,301,0.002700,0.812697,51,351,0.137699,0.947696,5866.499467,15.839483
47,101,101,0.272699,0.272699,151,151,0.407698,0.407698,5787.280536,15.625593
48,501,401,1.352694,1.082696,551,451,1.487694,1.217695,5360.206712,14.472498
49,901,401,2.432690,1.082696,951,451,2.567689,1.217695,4961.352235,13.395596
50,301,1,0.812697,0.002700,351,51,0.947696,0.137699,5601.983220,15.125292
